Linguiça,Carne e produtos cárneos,437.0,39.0,13.4,15.4,4.5,3.9,0.1,0.0,0.0,0.0,0.0,0.0,21.5,7.28,0.0,0.085,0.0,0.0,0.0,3.0E-4,6.0E-4,2.5E-4,0.005,0.0096,0.0046,4.0E-4,0.0018,0.0,3.0E-6,8.4,2.91,0.38,0.03,0.2,0.022,0.002,0.0032
Lombo de porco cru,Carne e produtos cárneos,131.0,4.7,1.6,1.6,0.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.13,0.0,0.058,0.025,0.0,6.0E-7,5.0E-4,7.0E-4,1.6E-4,0.0053,0.01,0.0047,4.4E-4,0.001,0.0,5.0E-6,1.1,0.053,0.4,0.007,0.22,0.023,6.0E-4,0.0016
Lombo de vitela cru,Carne e produtos cárneos,148.0,7.6,3.2,3.6,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,19.9,0.06,0.0,0.091,0.0,0.0,0.0,1.7E-4,2.2E-4,2.1E-4,0.0066,0.011,0.0042,3.4E-4,0.0012,0.0,5.7E-6,1.3,0.024,0.35,0.014,0.2,0.018,9.0E-4,0.003
Morcela crua,Carne e produtos cárneos,363.0,29.5,9.7,11.3,3.8,3.3,0.1,12.0,0.4,0.0,11.6,0.6,12.0,1.28,0.0,0.106,0.012,0.0,9.0E-7,1.5E-4,1.8E-4,8.0E-5,0.0016,0.0035,0.0019,4.0E-5,3.0E-4,0.0,4.6E-6,2.0,0.51,0.18,0.024,0.095,0.018,0.01,0.0012
Mortadela,Carne e produtos cárneos,379.0,33.2,12.4,15.2,3.4,3.0,0.1,1.7,0.0,0.0,1.7,0.0,18.3,3.85,0.0,0.06,0.0,0.0,0.0,6.0E-5,1.2E-4,1.6E-4,0.004,0.0074,0.0034,1.5E-4,0.0014,0.0,3.0E-6,3.9,1.54,0.2,0.021,0.18,0.014,0.0022,0.0026
Pá de carneiro crua,Carne e produtos cárneos,195.0,12.6,5.4,4.0,0.4,0.3,0.6,0.0,0.0,0.0,0.0,0.0,20.5,0.16,0.0,0.068,0.0,0.0,4.0E-7,7.0E-5,1.4E-4,3.2E-4,0.0043,0.0082,0.0039,2.2E-4,0.002,0.0,2.0E-6,0.9,0.066,0.27,0.012,0.21,0.016,0.0013,0.002
Paio de lombo,Carne e produtos cárneos,288.0,19.0,6.5,7.5,2.2,1.9,0.1,0.0,0.0,0.0,0.0,0.0,29.2,8.78,0.0,0.065,0.0,0.0,0.0,2.0E-4,7.0E-4,2.0E-4,0.005,0.011,0.0062,4.8E-4,0.0012,0.0,3.0E-6,10.0,3.51,0.32,0.025,0.26,0.025,0.001,0.0038
Pato com pele cru,Carne e produtos cárneos,394.0,38.3,9.7,16.9,4.3,3.7,0.2,0.0,0.0,0.0,0.0,0.0,12.3,0.17,0.0,0.074,0.051,0.0,1.4E-6,2.0E-5,1.7E-4,3.6E-4,0.0037,0.006,0.0023,2.6E-4,0.002,0.0,1.0E-5,0.95,0.068,0.2,0.01,0.13,0.015,0.0019,0.0013
Pato sem pele cru,Carne e produtos cárneos,133.0,6.2,1.6,2.7,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.23,0.0,0.093,0.024,0.0,4.0E-7,2.0E-5,3.6E-4,4.5E-4,0.0053,0.0095,0.0042,3.4E-4,0.003,0.0,2.5E-5,1.06,0.092,0.28,0.012,0.2,0.019,0.0024,0.0019
Peito de cabrito cru,Carne e produtos cárneos,116.0,3.8,1.2,1.7,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,20.5,0.2,0.0,0.057,0.0,0.0,0.0,9.0E-5,1.3E-4,3.2E-4,0.0061,0.01,0.0044,3.0E-4,0.0011,0.0,5.0E-6,1.2,0.082,0.38,0.011,0.23,0.022,5.0E-4,0.004
Peito de carneiro gordo cru,Carne e produtos cárneos,396.0,36.5,15.7,11.7,1.2,0.7,1.6,0.0,0.0,0.0,0.0,0.0,16.8,0.28,0.0,0.094,0.0,0.0,6.0E-7,9.0E-5,3.0E-4,3.2E-4,0.0045,0.0077,0.0032,1.6E-4,0.001,0.0,1.1E-5,0.85,0.11,0.3,0.017,0.22,0.016,0.0012,0.003
Peito de frango com pele cru,Carne e produtos cárneos,176.0,8.9,2.1,2.9,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,24.1,0.18,0.0,0.085,0.0,0.0,6.0E-7,1.4E-4,1.4E-4,1.4E-4,0.0089,0.013,0.0045,5.1E-4,3.7E-4,0.0,1.1E-5,0.8,0.072,0.32,0.019,0.2,0.017,0.001,8.0E-4
Peito de frango sem pele cru,Carne e produtos cárneos,108.0,1.2,0.3,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,24.1,0.15,0.2,0.07,0.0,0.0,1.0E-7,1.3E-4,1.4E-4,1.4E-4,0.011,0.016,0.0045,4.9E-4,3.7E-4,0.0,1.3E-5,0.8,0.06,0.37,0.005,0.22,0.029,5.0E-4,8.0E-4
Peito de peru com pele cru,Carne e produtos cárneos,134.0,4.7,1.5,1.9,1.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.16,0.0,0.068,0.007,0.0,3.0E-7,0.0,7.0E-5,1.0E-4,0.0074,0.012,0.0043,5.2E-4,0.001,0.0,7.4E-6,1.2,0.064,0.33,0.007,0.2,0.03,7.0E-4,6.0E-4
Peito de peru sem pele cru,Carne e produtos cárneos,105.0,1.3,0.3,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,23.4,0.16,0.0,0.057,0.0,0.0,3.0E-7,0.0,6.0E-5,1.2E-4,0.0079,0.012,0.0044,5.8E-4,0.001,0.0,8.0E-6,1.1,0.063,0.35,0.008,0.21,0.032,7.0E-4,6.0E-4
Peito de vitela magro cru,Carne e produtos cárneos,147.0,7.6,3.2,3.6,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,19.6,0.07,0.0,0.091,0.0,0.0,0.0,1.7E-4,3.2E-4,2.4E-4,0.0065,0.011,0.0042,3.5E-4,0.0012,0.0,5.8E-6,1.8,0.028,0.41,0.011,0.23,0.021,0.0011,0.0033
Perdiz crua,Carne e produtos cárneos,104.0,1.3,0.4,0.5,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.15,0.0,0.061,0.0,0.0,3.0E-7,0.0,2.4E-4,1.8E-4,0.0045,0.01,0.006,6.0E-4,4.3E-4,0.0,8.0E-6,1.2,0.06,0.25,0.019,0.17,0.029,0.0045,0.0024
Perna de cabrito crua,Carne e produtos cárneos,113.0,4.0,1.2,1.8,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,19.3,0.19,0.0,0.06,0.0,0.0,0.0,9.0E-5,1.3E-4,3.0E-4,0.006,0.01,0.0041,3.0E-4,0.0011,0.0,5.0E-6,1.22,0.077,0.36,0.009,0.27,0.021,9.0E-4,0.0037
Perna de carneiro gorda crua,Carne e produtos cárneos,276.0,22.2,9.6,7.1,0.8,0.4,1.0,0.0,0.0,0.0,0.0,0.0,19.1,0.15,0.0,0.086,0.0,0.0,5.0E-7,7.0E-5,3.2E-4,2.3E-4,0.005,0.0086,0.0036,2.3E-4,0.0023,0.0,3.0E-6,0.82,0.06,0.36,0.011,0.19,0.025,0.0012,0.0032
Perna de carneiro magra crua,Carne e produtos cárneos,130.0,5.6,2.4,1.8,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,19.8,0.28,0.0,0.068,0.0,0.0,7.0E-7,5.0E-5,1.4E-4,2.1E-4,0.005,0.0087,0.0037,3.0E-4,0.002,0.0,6.0E-6,1.2,0.11,0.3,0.018,0.25,0.016,0.0015,0.0019
Perna de frango sem pele crua,Carne e produtos cárneos,111.0,2.6,0.6,0.9,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.22,0.0,0.1,0.02,0.0,2.0E-7,1.7E-4,1.4E-4,2.2E-4,0.0059,0.01,0.0041,2.8E-4,0.001,0.0,9.0E-6,1.21,0.09,0.39,0.018,0.19,0.026,0.0012,0.0011
Perna de peru com pele crua,Carne e produtos cárneos,148.0,8.1,2.6,3.2,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.21,0.0,0.086,0.0,0.0,4.0E-7,0.0,8.0E-5,1.9E-4,0.005,0.0085,0.0035,3.2E-4,0.002,0.0,2.2E-5,1.17,0.083,0.29,0.016,0.19,0.02,0.0016,0.0029
Perna de porco gorda crua,Carne e produtos cárneos,239.0,18.5,6.3,6.2,3.0,2.6,0.1,0.0,0.0,0.0,0.0,0.0,18.1,0.14,0.0,0.071,0.0,0.0,8.0E-7,9.0E-5,7.6E-4,2.4E-4,0.0075,0.011,0.0033,4.2E-4,0.001,0.0,1.0E-6,1.03,0.057,0.29,0.011,0.2,0.017,0.001,0.0017
Perna de porco magra crua,Carne e produtos cárneos,152.0,7.5,2.6,2.5,1.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.22,0.0,0.063,0.0,0.0,5.0E-7,8.0E-4,7.0E-4,2.6E-4,0.0072,0.012,0.0047,4.6E-4,0.001,0.0,1.0E-6,1.12,0.086,0.42,0.012,0.17,0.025,7.0E-4,0.0027
Picanha grelhada,Carne e produtos cárneos,194.0,11.9,4.6,5.4,0.4,0.335,0.6,0.0,0.0,0.0,0.0,0.0,21.7,13.6,0.0,0.068,0.0,0.0,4.0E-7,4.0E-5,9.0E-5,1.7E-4,0.0039,0.00848,0.00458,4.8E-4,0.0022,0.0,2.5E-5,13.9,5.43,0.38,0.016,0.25,0.065,0.002,0.0039
Presunto,Carne e produtos cárneos,215.0,12.8,4.1,5.1,1.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.42,0.0,0.066,0.0,0.0,8.0E-7,2.0E-4,7.0E-4,2.8E-4,0.006,0.011,0.0053,4.1E-4,0.001,0.0,1.0E-6,7.0,2.57,0.58,0.023,0.2,0.041,0.002,0.0039
Salame,Carne e produtos cárneos,422.0,37.6,12.9,14.9,4.3,3.7,0.1,1.3,0.0,0.0,1.3,0.0,19.5,5.75,0.0,0.08,0.0,0.0,7.0E-7,1.1E-4,3.6E-4,2.2E-4,0.003,0.0066,0.0036,2.5E-4,0.001,0.0,3.0E-6,5.5,2.3,0.14,0.025,0.2,0.022,0.0023,0.0043
Salpicão,Carne e produtos cárneos,412.0,36.7,12.6,14.5,4.2,3.6,0.1,0.0,0.0,0.0,0.0,0.0,20.5,10.9,0.0,0.084,0.0,0.0,7.0E-7,3.0E-4,3.5E-4,1.8E-4,0.005,0.0094,0.0044,4.1E-4,0.001,0.0,3.0E-6,9.5,4.34,0.58,0.027,0.24,0.036,0.0017,0.003
Salsicha fresca crua,Carne e produtos cárneos,210.0,16.4,5.4,5.4,1.1,0.8,0.1,0.0,0.0,0.0,0.0,0.0,15.5,1.75,0.0,0.045,0.0,0.0,0.0,3.0E-4,2.0E-4,8.0E-5,0.003,0.0054,0.0024,6.0E-5,9.0E-4,0.0,1.0E-6,2.4,0.7,0.15,0.018,0.18,0.01,0.0032,0.0011
Salsicha tipo Frankfurt,Carne e produtos cárneos,178.0,14.7,4.8,5.7,1.6,1.4,0.0,2.4,1.2,0.0,1.2,0.1,9.0,2.52,0.0,0.046,0.0,0.0,0.0,3.0E-4,1.5E-4,8.0E-5,0.0011,0.0025,0.0014,1.0E-4,7.5E-4,0.0,1.0E-6,2.6,1.01,0.061,0.014,0.099,0.004,0.001,5.0E-4
Toucinho de porco entremeado fresco cru,Carne e produtos cárneos,682.0,72.0,24.1,27.9,11.0,9.4,0.4,0.0,0.0,0.0,0.0,0.0,8.4,0.17,0.0,0.068,0.0,0.0,0.0,3.0E-5,1.7E-4,1.3E-4,2.0E-4,0.0014,0.0012,9.0E-5,0.001,0.0,2.0E-6,1.1,0.068,0.04,0.016,0.07,0.055,4.0E-4,6.0E-4
Vaca para assar crua,Carne e produtos cárneos,174.0,10.7,4.1,4.8,0.4,0.3,0.5,0.0,0.0,0.0,0.0,0.0,19.4,0.17,0.0,0.061,0.0,0.0,4.0E-7,4.0E-5,8.0E-5,1.5E-4,0.0035,0.0076,0.0041,4.3E-4,0.002,0.0,2.2E-5,0.7,0.067,0.34,0.014,0.22,0.022,0.0018,0.0035
Vaca para estufar magra crua,Carne e produtos cárneos,175.0,9.8,3.8,4.4,0.3,0.3,0.4,0.0,0.0,0.0,0.0,0.0,21.7,0.16,0.0,0.069,0.0,0.0,7.0E-7,9.0E-5,7.0E-5,1.8E-4,0.0042,0.0088,0.0046,4.2E-4,0.002,0.0,6.0E-6,1.02,0.066,0.34,0.012,0.25,0.02,0.0013,0.0053
Vaca para estufar meio gorda crua,Carne e produtos cárneos,227.0,15.8,6.1,7.1,0.5,0.5,0.7,0.0,0.0,0.0,0.0,0.0,21.3,0.13,0.0,0.061,0.0,0.0,5.0E-7,1.1E-4,1.0E-4,1.7E-4,0.004,0.0085,0.0045,4.8E-4,0.002,0.0,1.5E-5,1.1,0.053,0.3,0.013,0.25,0.019,7.0E-4,0.0032
Abacate,Fruta,114.0,10.5,2.2,6.5,1.2,1.1,0.0,2.3,2.3,0.0,0.0,3.0,1.1,0.038,0.0,0.0,0.005,0.032,0.0,0.0021,1.0E-4,1.7E-4,0.0011,0.0013,0.0011,3.0E-4,0.0,0.003,1.1E-5,0.75,0.015,0.33,0.004,0.036,0.021,3.0E-4,3.0E-4
Ameixa branca,Fruta,40.0,0.2,0.0,0.1,0.1,0.1,0.0,7.8,7.8,0.0,0.0,1.6,0.6,0.13,0.6,0.0,0.107,0.64,0.0,6.1E-4,2.0E-5,6.0E-5,6.0E-4,7.0E-4,1.0E-4,5.0E-5,0.0,0.002,3.0E-6,0.36,0.052,0.14,0.003,0.012,0.005,1.0E-4,1.0E-4
Ananás ,Fruta,48.0,0.2,0.0,0.1,0.1,0.1,0.0,9.5,9.5,0.0,0.0,1.2,0.5,0.005,1.1,0.0,0.003,0.02,0.0,1.0E-4,4.0E-5,3.0E-5,6.0E-4,7.0E-4,1.0E-4,9.0E-5,0.0,0.016,5.0E-6,0.2,0.002,0.16,0.018,0.007,0.013,3.0E-4,1.0E-4
Anona,Fruta,82.0,0.4,0.0,0.2,0.1,0.1,0.0,16.8,14.8,0.0,2.0,2.4,1.7,0.028,0.0,0.0,0.001,0.006,0.0,1.0E-4,1.0E-4,1.1E-4,9.0E-4,0.001,1.0E-4,2.0E-4,0.0,0.017,5.0E-6,0.55,0.011,0.24,0.006,0.031,0.023,3.0E-4,2.0E-4
Banana,Fruta,104.0,0.4,0.1,0.0,0.1,0.0,0.0,21.8,19.6,0.0,2.2,3.1,1.6,0.015,0.3,0.0,0.004,0.021,0.0,2.7E-4,6.0E-5,7.0E-5,7.0E-4,0.001,3.0E-4,2.9E-4,0.0,0.01,1.4E-5,0.89,0.006,0.42,0.008,0.025,0.028,4.0E-4,2.0E-4
Cereja,Fruta,67.0,0.7,0.2,0.2,0.2,0.2,0.0,13.3,13.3,0.0,0.0,1.6,0.8,0.0025,0.4,0.0,0.024,0.141,0.0,1.3E-4,4.0E-5,6.0E-5,2.0E-4,3.0E-4,1.0E-4,4.0E-5,0.0,0.006,5.0E-6,0.43,0.001,0.21,0.014,0.015,0.01,4.0E-4,1.0E-4
Clementina,Fruta,53.0,0.2,0.0,0.1,0.1,0.1,0.0,11.1,11.1,0.0,0.0,1.7,0.8,0.005,0.0,0.0,0.012,0.075,0.0,3.3E-4,8.0E-5,4.0E-5,3.0E-4,4.0E-4,1.0E-4,7.0E-5,0.0,0.04,3.2E-5,0.6,0.002,0.16,0.029,0.017,0.011,1.0E-4,1.0E-4
Damasco,Fruta,48.0,0.1,0.0,0.1,0.0,0.0,0.0,8.5,8.5,0.0,0.0,2.1,0.8,0.0025,1.9,0.0,0.18,1.1,0.0,7.0E-4,4.0E-5,1.0E-4,5.0E-4,6.0E-4,1.0E-4,7.0E-5,0.0,0.003,5.0E-6,0.8,0.001,0.26,0.009,0.015,0.012,0.001,1.0E-4
Dióspiro,Fruta,65.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,14.8,0.0,0.0,1.5,0.6,0.012,0.0,0.0,0.177,1.06,0.0,1.0E-4,3.0E-5,2.0E-5,3.0E-4,5.0E-4,2.0E-4,4.0E-5,0.0,0.003,7.0E-6,0.55,0.005,0.23,0.01,0.013,0.007,2.0E-4,1.0E-4
Figo,Fruta,78.0,0.5,0.1,0.1,0.2,0.2,0.0,16.3,16.3,0.0,0.0,2.3,0.9,0.0075,0.2,0.0,0.008,0.05,0.0,7.7E-4,3.0E-5,2.0E-5,3.0E-4,4.0E-4,1.0E-4,1.1E-4,0.0,0.001,7.0E-6,0.61,0.003,0.17,0.035,0.029,0.02,6.0E-4,1.0E-4
Figo seco,Fruta,270.0,0.6,0.1,0.1,0.3,0.3,0.0,58.3,58.3,0.0,0.0,11.0,2.3,0.16,0.0,0.0,0.011,0.065,0.0,7.0E-4,7.0E-5,6.0E-5,8.0E-4,0.0012,4.0E-4,2.2E-4,0.0,0.001,9.0E-6,2.2,0.062,0.94,0.24,0.072,0.086,0.0026,3.0E-4
Framboesa,Fruta,48.0,0.6,0.0,0.1,0.3,0.2,0.0,5.1,5.1,0.0,0.0,6.7,0.9,0.0025,1.9,0.0,0.002,0.01,0.0,2.0E-4,3.0E-5,2.0E-5,6.0E-4,8.0E-4,2.0E-4,5.0E-5,0.0,0.03,3.3E-5,0.54,0.001,0.23,0.026,0.023,0.02,5.0E-4,3.0E-4
Ginja,Fruta,57.0,0.3,0.1,0.1,0.1,0.0,0.0,11.5,11.5,0.0,0.0,1.6,0.9,0.0075,0.4,0.0,0.02,0.123,0.0,1.3E-4,4.0E-5,5.0E-5,4.0E-4,5.0E-4,1.0E-4,5.0E-5,0.0,0.01,9.0E-6,0.55,0.003,0.2,0.015,0.017,0.01,4.0E-4,1.0E-4
Kiwi,Fruta,60.0,0.5,0.1,0.1,0.2,0.1,0.0,10.9,10.9,0.0,0.0,1.9,1.1,0.022,1.2,0.0,0.007,0.042,0.0,4.0E-4,2.0E-5,5.0E-5,3.0E-4,5.0E-4,2.0E-4,2.0E-5,0.0,0.072,4.2E-5,0.72,0.009,0.3,0.019,0.028,0.018,4.0E-4,2.0E-4
Laranja,Fruta,48.0,0.2,0.0,0.0,0.1,0.0,0.0,8.9,8.9,0.0,0.0,1.8,1.1,0.01,0.7,0.0,0.02,0.12,0.0,2.4E-4,9.0E-5,5.0E-5,7.0E-4,8.0E-4,1.0E-4,1.0E-4,0.0,0.057,3.1E-5,0.42,0.004,0.16,0.035,0.019,0.011,2.0E-4,1.0E-4
Limão,Fruta,31.0,0.3,0.1,0.0,0.1,0.1,0.0,1.9,1.9,0.0,0.0,2.1,0.5,0.005,4.7,0.0,0.002,0.011,0.0,6.0E-4,4.0E-5,2.0E-5,2.0E-4,3.0E-4,1.0E-4,7.0E-5,0.0,0.055,9.0E-6,0.42,0.002,0.14,0.026,0.016,0.009,5.0E-4,1.0E-4
Maçã com casca,Fruta,64.0,0.5,0.1,0.0,0.2,0.1,0.0,13.4,13.4,0.0,0.0,2.1,0.2,0.015,0.2,0.0,0.004,0.026,0.0,5.9E-4,2.0E-5,3.0E-5,1.0E-4,2.0E-4,1.0E-4,4.0E-5,0.0,0.007,5.0E-6,0.32,0.006,0.14,0.006,0.008,0.008,2.0E-4,0.0
Manga,Fruta,59.0,0.3,0.1,0.1,0.1,0.0,0.0,11.7,11.5,0.0,0.2,2.9,0.5,0.035,0.6,0.0,0.3,1.8,0.0,0.001,4.0E-5,5.0E-5,5.0E-4,6.0E-4,1.0E-4,1.3E-4,0.0,0.023,3.6E-5,0.5,0.014,0.12,0.009,0.01,0.013,2.0E-4,1.0E-4
Marmelo,Fruta,53.0,0.2,0.0,0.1,0.1,0.1,0.0,9.3,9.3,0.0,0.0,6.0,0.3,0.01,0.2,0.0,0.005,0.029,0.0,5.5E-4,2.0E-5,4.0E-5,1.0E-4,2.0E-4,1.0E-4,4.0E-5,0.0,0.014,3.0E-6,0.35,0.004,0.2,0.014,0.014,0.007,1.0E-4,1.0E-4
