Nome do alimento,Grupo,Energia,Lípidos (FAT),Ácidos gordos saturados (FASAT),Ácidos gordos monoinsaturados (FAMS),Ácidos gordos polinsaturados (FAPU),Ácido linoleico (F18:2CN6),Ácidos gordos trans (FATRS),Hidratos de carbono (CHO),Mono+dissacáridos (SUGAR),Oligossacáridos (OLSAC),Amido (STARCH),Sal (NACL),Fibra alimentar (FIBT),Proteína (PROT),Ácidos orgânicos (OA),Colesterol (CHORL),Vitamina A total (equivalentes de retinol) (VITA),Caroteno (CAROT),Vitamina D (VITD),a-tocoferol (TOCPHA),Tiamina (THIA),Riboflavina (RIBF),Niacina (NIA),Equivalentes de niacina (NIAEQ),Triptofano/60 (NIATRP),Vitamina B6 (VITB6),Vitamina B12  (VITB12),Vitamina C (VITC),Folatos (FOL),Cinza (ASH),Sódio (Na),Potássio (K),Cálcio (Ca),Fósforo (P),Magnésio (Mg),Ferro (Fe),Zinco (Zn)
Abrótea crua,"Peixe, produtos da pesca",70,0.1,0,0,0,0,0,0,0,0,0,0.16,0,17.2,0,0.022,0.001,0,0.0000004,0.00004,0.00003,0.00003,0.00056,0.0038,0.0032,0.00006,0.00044,0,0.000012,1.1,0.063,0.36,0.011,0.23,0.028,0.0002,0.0005
Amêijoa aberta ao natural sem sal,"Peixe, produtos da pesca",131,1.8,0.4,0.2,0.4,0,0,5.2,0,0,5.2,1.22,0,23.4,0,0.088,0.175,0,0.0000002,0.00058,0.00006,0.0003,0.0032,0.0082,0.005,0.00007,0.067,0,0.000016,2,0.49,0.16,0.1,0.36,0.21,0.017,0.0042
Amêijoa crua,"Peixe, produtos da pesca",65,0.9,0.2,0.1,0.2,0,0,2.6,0,0,2.6,0.6,0,11.7,0,0.044,0.097,0,0.0000001,0.00029,0.00004,0.00015,0.0017,0.0042,0.0025,0.00004,0.037,0,0.0000095,1,0.24,0.078,0.051,0.18,0.1,0.0085,0.0021
Amêijoas,"Peixe, produtos da pesca",89,2.5,0.4,1.3,0.4,0.121,0,3.2,0.3,0,2.9,0.65,0.4,12.8,0.5,0.047,0.11,0.034,0.0000001,0.00062,0.00005,0.00017,0.0019,0.00461,0.00272,0.00006,0.04,0.009,0.000012,1.21,0.26,0.13,0.063,0.2,0.11,0.0093,0.0023
"Bacalhau seco e salgado, demolhado cru","Peixe, produtos da pesca",80,0.4,0.1,0.1,0.1,0,0,0,0,0,0,3.7,0,19,0,0.052,0.004,0,0.0000045,0.00028,0.00005,0.00007,0.00076,0.0043,0.0035,0.00007,0.00095,0,0.0000081,3.4,1.48,0.036,0.033,0.12,0.023,0.0002,0.0008
Berbigão cru,"Peixe, produtos da pesca",59,0.7,0.1,0.1,0.3,0,0,2.7,0,0,2.7,0.95,0,10.5,0,0.03,0,0,0,0,0.00005,0.00011,0.0017,0.0039,0.0022,0.00004,0.041,0,0.000018,3.2,0.38,0.062,0.056,0.16,0.058,0.0059,0.0011
Camarão cozido,"Peixe, produtos da pesca",99,0.8,0.2,0.1,0.4,0.1,0,0.4,0,0,0.4,4,0,22.6,0,0.198,0.002,0,0,0.0009,0.00003,0.00001,0.0024,0.0072,0.0048,0.00005,0.0024,0,0.0000098,5,1.6,0.23,0.11,0.19,0.038,0.0023,0.0004
Camarão cru,"Peixe, produtos da pesca",77,0.6,0.1,0.1,0.3,0.1,0,0.3,0,0,0.3,0.48,0,17.6,0,0.154,0,0,0,0.0007,0.00003,0.00001,0.002,0.0058,0.0038,0.00005,0.0021,0,0.000009,1.5,0.19,0.18,0.087,0.15,0.03,0.0018,0.0003
Carapau cru,"Peixe, produtos da pesca",105,2.9,0.7,0.8,0.9,0,0,0,0,0,0,0.2,0,19.7,0,0.036,0.015,0,0.0000041,0.00037,0.00015,0.00015,0.005,0.0087,0.0037,0.00036,0.0057,0,0.000015,1.4,0.08,0.4,0.069,0.26,0.033,0.0012,0.0012
Cavala crua,"Peixe, produtos da pesca",202,13.4,3.6,3.7,4.7,0.2,0.3,0,0,0,0,0.2,0,20.3,0,0.045,0.028,0,0.0000024,0.0013,0.00013,0.00023,0.009,0.013,0.0038,0.001,0.014,0,0.000014,1.4,0.078,0.36,0.039,0.28,0.037,0.0011,0.0022
Cherne cru,"Peixe, produtos da pesca",132,6.7,2,2.2,0.9,0.1,0,0,0,0,0,0.28,0,17.9,0,0.047,0.055,0,0.0000066,0.0026,0.00004,0.00003,0.0018,0.0051,0.0033,0.00024,0.0007,0,0.000006,1.2,0.11,0.29,0.008,0.16,0.027,0.0004,0.0007
Chicharro cru,"Peixe, produtos da pesca",105,2.9,0.7,0.8,0.9,0,0,0,0,0,0,0.2,0,19.7,0,0.036,0.015,0,0.0000041,0.00037,0.00015,0.00015,0.005,0.0087,0.0037,0.00036,0.0057,0,0.000015,1.4,0.08,0.4,0.069,0.26,0.033,0.0012,0.0012
Choco cru,"Peixe, produtos da pesca",79,0.4,0.1,0.1,0.1,0,0,0,0,0,0,0.5,0,18.9,0,0.076,0.009,0,0,0.00094,0.00004,0.00003,0.0011,0.0051,0.004,0.00006,0.0012,0,0.0000088,1.4,0.2,0.32,0.008,0.27,0.049,0.0001,0.0017
Corvina crua,"Peixe, produtos da pesca",94,1.4,0.3,0.5,0.2,0,0,0,0,0,0,0.14,0,20.4,0,0.05,0.001,0,0.000016,0.00045,0.00007,0.00014,0.0027,0.0065,0.0038,0.00029,0.0003,0,0.000012,1.2,0.056,0.43,0.013,0.23,0.031,0.0003,0.0005
Dourada crua,"Peixe, produtos da pesca",167,9.8,2.1,3.6,2.8,0.5,0,0,0,0,0,0.15,0,19.7,0,0.051,0.011,0,0.000012,0.00082,0.0002,0.00008,0.0051,0.0088,0.0037,0.00036,0.0048,0,0.000024,1.4,0.059,0.38,0.015,0.25,0.028,0.0004,0.0008
Espadarte cru,"Peixe, produtos da pesca",97,2.9,0.7,1.2,0.5,0,0,0,0,0,0,0.18,0,17.8,0,0.045,0,0,0.0000013,0.00009,0.00011,0.00004,0.0041,0.0074,0.0033,0.00047,0.0014,0,0.000014,1.3,0.072,0.39,0.005,0.26,0.03,0.0006,0.0009
Garoupa crua,"Peixe, produtos da pesca",95,1.4,0.3,0.3,0.4,0,0,0,0,0,0,0.32,0,20.5,0,0.037,0.05,0,0.000007,0.0026,0.00003,0.00005,0.0011,0.0049,0.0038,0.0003,0.001,0,0.000006,1.4,0.13,0.3,0.018,0.16,0.031,0.0006,0.0005
Goraz cru,"Peixe, produtos da pesca",100,2.7,0.7,0.8,0.8,0,0,0,0,0,0,0.25,0,18.8,0,0.036,0.019,0,0.000015,0.0007,0.00005,0.00007,0.0026,0.0061,0.0035,0.00041,0.001,0,0.000015,1.5,0.1,0.37,0.007,0.26,0.032,0.0004,0.0007
Imperador cru,"Peixe, produtos da pesca",80,0.4,0.1,0.1,0.1,0,0,0,0,0,0,0.18,0,19,0,0.032,0.01,0,0.0000027,0.00062,0.0001,0.00002,0.0039,0.0074,0.0035,0.00012,0.00036,0,0.000011,1.1,0.072,0.32,0.014,0.21,0.032,0.0002,0.0004
Lagostim cru,"Peixe, produtos da pesca",89,0.5,0.1,0.1,0.2,0,0,0.2,0,0,0.2,0.8,0,20.9,0,0.068,0,0,0,0.0009,0.00009,0.00004,0.002,0.0059,0.0039,0.00008,0.001,0,0.000011,2.1,0.32,0.19,0.037,0.2,0.042,0.001,0.0015
Linguado cru,"Peixe, produtos da pesca",82,0.2,0,0,0.1,0,0,0,0,0,0,0.22,0,20.1,0,0.044,0.004,0,0.0000094,0.00032,0.00009,0.00013,0.0028,0.0066,0.0038,0.00033,0.00094,0,0.00001,1.4,0.088,0.39,0.021,0.22,0.033,0.0003,0.0006
Lula crua,"Peixe, produtos da pesca",71,0.9,0.2,0.1,0.4,0,0,0,0,0,0,0.5,0,15.8,0,0.14,0.01,0,0.0000035,0.0012,0.00007,0.00002,0.001,0.0044,0.0034,0.00005,0.0011,0,0.0000071,1.3,0.2,0.22,0.018,0.26,0.049,0.0003,0.001
Maruca crua,"Peixe, produtos da pesca",70,0.1,0,0,0.1,0,0,0,0,0,0,0.3,0,17.2,0,0.028,0.009,0,0.0000004,0.00013,0.00004,0.00002,0.00067,0.0039,0.0032,0.00007,0.00048,0,0.0000068,1,0.12,0.26,0.025,0.18,0.025,0.0002,0.0007
Mexilhão cru,"Peixe, produtos da pesca",70,1.5,0.3,0.3,0.5,0,0,2,0,0,2,0.72,0,12.1,0,0.04,0.36,0,0,0.00074,0.0001,0.00014,0.0012,0.0038,0.0026,0.00008,0.019,0,0.000037,2.1,0.29,0.28,0.056,0.24,0.036,0.0035,0.0041
"Ostra, crua","Peixe, produtos da pesca",65,1.7,0.3,0.3,0.5,0,0,3.9,0,0,3.9,0.92,0,8.6,0,0.053,0.085,0,0,0.00085,0.00015,0.00019,0.0019,0.0037,0.0018,0.00013,0.014,0,0.000011,2.7,0.37,0.26,0.066,0.14,0.036,0.008,0.091
Pargo legítimo cru,"Peixe, produtos da pesca",79,0.2,0,0,0.1,0,0,0,0,0,0,0.16,0,19.4,0,0.038,0.006,0,0.000009,0.00045,0.00025,0.00002,0.0048,0.0084,0.0036,0.0005,0.0021,0,0.00001,1.3,0.065,0.45,0.007,0.26,0.036,0.0007,0.0007
Pargo mulato cru,"Peixe, produtos da pesca",80,0.7,0.1,0.1,0.2,0,0,0,0,0,0,0.2,0,18.5,0,0.034,0.006,0,0.0000009,0.0019,0.00013,0.00006,0.0016,0.0051,0.0035,0.00022,0.0013,0,0.000007,1.1,0.081,0.32,0.012,0.18,0.028,0.0005,0.0008
Peixe-espada-branco cru,"Peixe, produtos da pesca",117,4,1,1.7,0.8,0,0,0,0,0,0,0.19,0,20.3,0,0.038,0.017,0,0.0000011,0.0012,0.00005,0.00006,0.0036,0.0074,0.0038,0.00019,0.0022,0,0.00003,1.3,0.077,0.25,0.016,0.18,0.026,0.0004,0.0006
Peixe-espada-preto cru,"Peixe, produtos da pesca",88,2.8,0.5,1.6,0.2,0,0,0,0,0,0,0.35,0,15.7,0,0.024,0.023,0,0.0000021,0.0011,0.00001,0.00004,0.0018,0.0047,0.0029,0.00016,0.0017,0,0.0000083,1.2,0.14,0.33,0.014,0.18,0.029,0.0001,0.0005
Pescada crua (valor médio),"Peixe, produtos da pesca",83,1.4,0.2,0.4,0.4,0,0,0,0,0,0,0.25,0,17.6,0,0.019,0.01,0,0.0000014,0.0005,0.00007,0.00004,0.0011,0.0044,0.0033,0.00006,0.00072,0,0.000018,1.3,0.1,0.36,0.031,0.19,0.031,0.0003,0.0006
Pescada da África do Sul crua,"Peixe, produtos da pesca",80,1.3,0.2,0.4,0.4,0,0,0,0,0,0,0.3,0,17.2,0,0.019,0.007,0,0.0000011,0.0004,0.00005,0.00004,0.00086,0.0041,0.0032,0.00004,0.0006,0,0.000013,1.3,0.12,0.33,0.02,0.18,0.037,0.0003,0.0006
Pescada do Chile crua,"Peixe, produtos da pesca",86,1.5,0.3,0.4,0.4,0,0,0,0,0,0,0.21,0,18,0,0.019,0.005,0,0.0000013,0.00069,0.0001,0.00005,0.0013,0.0047,0.0034,0.00009,0.00084,0,0.000022,1.3,0.085,0.38,0.043,0.2,0.026,0.0003,0.0005
Pescada europeia crua,"Peixe, produtos da pesca",75,0.8,0.1,0.1,0.3,0.1,0,0,0,0,0,0.17,0,17,0,0.019,0.003,0,0.0000056,0.00024,0.00002,0.00004,0.0012,0.0044,0.0032,0.00004,0.00063,0,0.000027,1.1,0.069,0.41,0.015,0.22,0.026,0.0005,0.0007
Polvo cozido sem sal,"Peixe, produtos da pesca",102,1.3,0.3,0.1,0.6,0,0,0,0,0,0,0.45,0,22.7,0,0.105,0.007,0,0,0.0021,0.00001,0.00004,0.0025,0.0076,0.0051,0.00005,0.0017,0,0.000013,1.2,0.18,0.16,0.026,0.18,0.049,0.0005,0.0024
Polvo cru,"Peixe, produtos da pesca",73,1.2,0.3,0.1,0.6,0,0,0,0,0,0,0.65,0,15.6,0,0.064,0.003,0,0,0.00073,0.00002,0.00004,0.0013,0.0046,0.0033,0.00007,0.0013,0,0.000012,0.9,0.26,0.24,0.013,0.16,0.043,0.0007,0.0013
Raia crua,"Peixe, produtos da pesca",58,0.2,0,0,0.1,0,0,0,0,0,0,0.55,0,14.1,0,0.039,0.002,0,0.0000004,0.00024,0.00003,0.00003,0.0017,0.0043,0.0026,0.00019,0.00047,0,0.000012,1.9,0.22,0.26,0.16,0.32,0.028,0.0003,0.0008
Redfish cru,"Peixe, produtos da pesca",100,2.9,0.5,0.9,0.5,0.4,0,0,0,0,0,0.2,0,18.6,0,0.042,0.02,0,0.0000023,0.0012,0.00013,0.00009,0.0028,0.0063,0.0035,0.00018,0.0023,0,0.000006,1.2,0.078,0.3,0.015,0.2,0.029,0.0006,0.0006
Robalo cru,"Peixe, produtos da pesca",145,7.9,1.8,2,1.7,0.4,0,0,0,0,0,0.24,0,18.5,0,0.052,0.036,0,0.000005,0.00017,0.00026,0.00008,0.0027,0.0062,0.0035,0.00049,0.0013,0,0.0000095,1.7,0.095,0.35,0.052,0.23,0.038,0.0004,0.0012
Safio,"Peixe, produtos da pesca",88,3.2,0.6,2.2,0.4,0.208,0,7.5,1.9,0.2,5.3,0.78,1.3,5.5,0,0.011,0.116,0.323,0.000021,0.00115,0.00014,0.00003,0.0011,0.00213,0.00103,0.00035,0.00007,0.0241,0.000032,1.57,0.31,0.38,0.056,0.082,0.021,0.0007,0.0005
Safio cru,"Peixe, produtos da pesca",109,4.2,1.2,2.1,0.8,0,0,0,0,0,0,0.21,0,17.7,0,0.049,0.267,0,0.000091,0.0015,0.00004,0.00005,0.0015,0.0048,0.0033,0.00055,0.0003,0,0.000013,1,0.084,0.34,0.13,0.22,0.028,0.0002,0.0011
Salmão cru,"Peixe, produtos da pesca",262,21.9,4.2,10,5.1,0.7,0,0,0,0,0,0.095,0,16.2,0,0.04,0.033,0,0.000011,0.004,0.00018,0.00004,0.0036,0.0066,0.003,0.00045,0.0019,0,0.00001,1.3,0.038,0.3,0.012,0.21,0.023,0.0005,0.0005
Sarda crua,"Peixe, produtos da pesca",181,11.7,3.1,3.8,3.5,0.2,0.3,0,0,0,0,0.19,0,19,0,0.045,0.064,0,0.0000093,0.0015,0.00011,0.00019,0.0058,0.0093,0.0035,0.00043,0.0084,0,0.000015,1.3,0.076,0.37,0.056,0.27,0.03,0.0001,0.0027
Sardinha gorda crua,"Peixe, produtos da pesca",221,16.4,4.7,4,5.6,0.5,0.5,0,0,0,0,0.16,0,18.4,0,0.02,0.047,0,0.000021,0.00066,0.00001,0.00008,0.0044,0.0078,0.0034,0.00057,0.01,0,0.000015,1.7,0.065,0.37,0.072,0.31,0.031,0.001,0.0016
Sardinha meio gorda crua,"Peixe, produtos da pesca",158,9.1,2.5,2.2,3.3,0.2,0.3,0,0,0,0,0.16,0,18.9,0,0.028,0.012,0,0.000017,0.00025,0.00001,0.00014,0.0062,0.0097,0.0035,0.00041,0.01,0,0.000024,1.6,0.065,0.4,0.07,0.3,0.029,0.0017,0.0017
Solha crua,"Peixe, produtos da pesca",90,1.6,0.3,0.4,0.4,0,0,0,0,0,0,0.28,0,19,0,0.085,0,0,0.00001,0.00035,0.00012,0.00005,0.00051,0.004,0.0035,0.00013,0.0015,0,0.0000085,1,0.11,0.23,0.054,0.17,0.029,0.0004,0.0006
Tamboril cru,"Peixe, produtos da pesca",73,0.2,0,0,0.1,0,0,0,0,0,0,0.22,0,17.9,0,0.042,0.024,0,0,0.00023,0.00004,0.00002,0.002,0.0053,0.0033,0.00005,0.00026,0,0.0000073,1.1,0.086,0.33,0.007,0.21,0.027,0.0002,0.0005
Truta arco-íris crua,"Peixe, produtos da pesca",92,2.3,0.5,0.5,0.9,0.2,0,0,0,0,0,0.1,0,17.8,0,0.038,0.009,0,0.000019,0.00013,0.00009,0.00004,0.004,0.0073,0.0033,0.00028,0.0019,0,0.0000082,1.3,0.041,0.4,0.02,0.24,0.024,0.0002,0.0006
Abóbora crua,Produtos hortícolas,11,0.2,0.1,0,0,0,0,1.7,1.4,0,0.3,0.0025,0.7,0.3,0,0,0.16,0.962,0,0.001,0.00001,0.00001,0.0006,0.0006,0,0.00004,0,0.012,0.000008,0.4,0.001,0.2,0.025,0.005,0.005,0.0001,0.0001
Agrião cru,Produtos hortícolas,29,0.9,0.3,0.1,0.4,0.1,0,0.4,0.4,0,0,0.12,3,3.4,0,0,0.325,1.95,0,0.0015,0.00009,0.00007,0.0006,0.0011,0.0005,0.00023,0,0.077,0.0002,1.15,0.049,0.23,0.2,0.056,0.015,0.0017,0.0002
Aipo cru,Produtos hortícolas,15,0.1,0,0,0.1,0.1,0,1.5,1.5,0,0,0.25,2,1.1,0,0,0,0,0,0.0002,0.00005,0.00004,0.0003,0.0004,0.0001,0.00007,0,0.008,0.000016,0.94,0.1,0.3,0.055,0.032,0.013,0.0006,0.0001
Alcachofra crua,Produtos hortícolas,51,0.2,0,0,0.1,0.1,0,6.8,2.7,0,4.1,0.21,5,3,0,0,0.02,0.12,0,0.0002,0.00008,0.00003,0.0008,0.0013,0.0005,0.0001,0,0.009,0.000074,0.85,0.084,0.35,0.04,0.09,0.049,0.001,0.0005
Alface crua,Produtos hortícolas,15,0.2,0,0,0.1,0,0,0.8,0.8,0,0,0.0075,1.3,1.8,0,0,0.115,0.688,0,0.0006,0.00006,0.00002,0.0004,0.0005,0.0001,0.00004,0,0.004,0.000055,0.65,0.003,0.31,0.07,0.046,0.022,0.0015,0.0004
Alho francês cru,Produtos hortícolas,26,0.3,0.1,0,0.2,0.1,0,2.9,2.2,0.4,0.3,0.01,2.4,1.8,0,0,0.124,0.745,0,0.00067,0.00029,0.00005,0.0004,0.0006,0.0002,0.00048,0,0.02,0.000087,0.86,0.004,0.24,0.024,0.044,0.011,0.001,0.0002
Beringela crua,Produtos hortícolas,21,0.2,0,0,0.1,0,0,2.4,2.2,0,0.2,0.0075,2.5,1.1,0.2,0,0.009,0.051,0,0.00003,0.00005,0.00003,0.0005,0.0007,0.0002,0.00008,0,0.004,0.00002,0.6,0.003,0.23,0.017,0.026,0.012,0.0004,0.0002
Beterraba crua,Produtos hortícolas,23,0,0,0,0,0,0,3.5,3.5,0,0,0.18,2.6,1,0,0,0.003,0.016,0,0,0.00004,0.00002,0.0002,0.0004,0.0002,0.00004,0,0.015,0.00011,0.59,0.07,0.34,0.017,0.025,0.019,0.0008,0.0004
Brócolos crus,Produtos hortícolas,32,0.8,0.1,0,0.4,0.1,0,1.5,1.2,0.2,0.1,0.02,2.6,3.4,0,0,0.178,1.07,0,0.001,0.0001,0.00006,0.001,0.0016,0.0006,0.00014,0,0.041,0.00009,0.97,0.008,0.37,0.067,0.05,0.022,0.0013,0.0006
Cebola crua,Produtos hortícolas,20,0.2,0,0,0.2,0.1,0,3.1,2.2,0.9,0,0.025,1.3,0.9,0,0,0,0,0,0.0003,0.00013,0.00001,0.0006,0.0007,0.0001,0.0002,0,0.008,0.000017,0.7,0.01,0.21,0.031,0.03,0.012,0.0005,0.0003
Cenoura crua,Produtos hortícolas,25,0,0,0,0,0,0,4.4,4.1,0.1,0.2,0.14,2.6,0.6,0,0,0.933,5.6,0,0.0005,0.00005,0.00002,0.0009,0.001,0.0001,0.00007,0,0.003,0.000028,0.6,0.058,0.31,0.041,0.033,0.007,0.0007,0.0001
Chicória crua,Produtos hortícolas,14,0.1,0,0,0.1,0,0,0.9,0.9,0,0,0.01,2.6,1,0,0,0.02,0.12,0,0,0.00006,0.00009,0.0003,0.0004,0.0001,0.00005,0,0.002,0.000014,0.37,0.004,0.17,0.03,0.023,0.006,0.0003,0.0001
Cogumelos crus,Produtos hortícolas,18,0.5,0.1,0,0.2,0.2,0,0.5,0.3,0,0.2,0.012,2.3,1.8,0,0,0,0,0,0.0001,0.00009,0.00031,0.0032,0.0035,0.0003,0.00018,0,0.001,0.000044,0.9,0.005,0.32,0.006,0.08,0.009,0.0006,0.0004
Courgette crua,Produtos hortícolas,19,0.3,0.1,0,0.1,0.1,0,2,1.9,0,0.1,0.0075,1,1.6,0,0,0.055,0.332,0,0,0.00011,0.00004,0.0004,0.0007,0.0003,0.00012,0,0.017,0.000041,0.6,0.003,0.25,0.022,0.033,0.02,0.0008,0.0003
Couve branca crua,Produtos hortícolas,28,0.4,0.1,0,0.2,0.1,0,3.5,3.4,0,0.1,0.018,2.4,1.4,0,0,0.007,0.04,0,0.0002,0.00012,0.00001,0.0003,0.0006,0.0003,0.00018,0,0.04,0.000034,0.5,0.007,0.24,0.05,0.038,0.006,0.0006,0.0002
Couve de Bruxelas crua,Produtos hortícolas,50,1.4,0.3,0.1,0.7,0.2,0,4,3.1,0.2,0.7,0.015,3.8,3.5,0,0,0.036,0.215,0,0.001,0.00015,0.00011,0.0002,0.0009,0.0007,0.00037,0,0.115,0.00014,1.4,0.006,0.45,0.026,0.077,0.008,0.0007,0.0005
Couve galega crua,Produtos hortícolas,32,0.4,0.1,0,0.3,0.3,0,3.1,2.7,0,0.4,0.052,3.1,2.4,0,0,0.414,2.49,0,0.0002,0.00021,0.00011,0.0015,0.002,0.0005,0.00015,0,0.148,0.000078,2.2,0.021,0.18,0.29,0.04,0.018,0.001,0.0005
Couve lombarda crua,Produtos hortícolas,26,0.2,0,0,0.1,0.1,0,2.1,2,0,0.1,0.022,3.1,2.4,0,0,0.166,0.995,0,0.0002,0.00015,0.00003,0.0007,0.0011,0.0004,0.00015,0,0.067,0.00015,1.04,0.009,0.25,0.051,0.064,0.012,0.0005,0.0003
Couve portuguesa crua,Produtos hortícolas,31,0.4,0,0,0.3,0.2,0,3.5,3.4,0,0.1,0.038,2.4,2.2,0,0,0.233,1.4,0,0.0002,0.00012,0.00006,0.0007,0.0011,0.0004,0.00013,0,0.09,0.000078,0.8,0.015,0.27,0.076,0.065,0.028,0.001,0.0004
Couve roxa crua,Produtos hortícolas,30,0,0,0,0,0,0,3.9,3.3,0.5,0.1,0.028,3.3,2,0,0,0.003,0.015,0,0.0002,0.00002,0.00001,0.0004,0.0007,0.0003,0.00009,0,0.057,0.000039,0.48,0.011,0.25,0.06,0.028,0.009,0.0005,0.0001
Couve-flor crua,Produtos hortícolas,34,0.2,0,0,0.1,0,0,3.3,2.8,0.1,0.4,0.035,1.9,3.7,0,0,0.005,0.03,0,0.00022,0.00017,0.00007,0.0006,0.0015,0.0009,0.00028,0,0.073,0.000066,0.95,0.014,0.38,0.021,0.034,0.022,0.0005,0.0007
Espargos crus,Produtos hortícolas,22,0,0,0,0,0,0,2.7,2.6,0,0.1,0.005,1.5,2.1,0,0,0.067,0.4,0,0.0012,0.00016,0.00007,0.001,0.0014,0.0004,0.00009,0,0.01,0.00018,0.8,0.002,0.26,0.023,0.068,0.015,0.0007,0.0006
Espinafres crus,Produtos hortícolas,27,0.9,0.1,0,0.4,0.1,0,0.8,0.7,0,0.1,0.42,2.6,2.6,0,0,0.55,3.3,0,0.0017,0.00007,0.00018,0.0004,0.0011,0.0007,0.00017,0,0.035,0.00015,1.3,0.17,0.47,0.1,0.045,0.054,0.0024,0.0009
Grelos de couve crus,Produtos hortícolas,28,0.4,0.1,0,0.3,0.3,0,2.5,2.1,0.2,0.2,0.048,2.6,2.4,0,0,0.18,1.08,0,0.0013,0.00007,0.00009,0.0007,0.0011,0.0004,0.00014,0,0.079,0.00009,1.04,0.019,0.23,0.15,0.051,0.02,0.0006,0.0007
Grelos de nabo crus,Produtos hortícolas,28,0.5,0.1,0,0.3,0.3,0,2.3,1.9,0.2,0.2,0.048,2.6,2.4,0,0,0.204,1.23,0,0.0013,0.0001,0.00007,0.001,0.0014,0.0004,0.00014,0,0.084,0.00009,0.81,0.019,0.23,0.13,0.043,0.02,0.0005,0.0004
Nabo cru,Produtos hortícolas,21,0.4,0,0,0.2,0,0,3,2.9,0,0.1,0.05,2,0.4,0,0,0.003,0.02,0,0,0.00005,0.00002,0.0009,0.001,0.0001,0.00008,0,0.018,0.000014,0.7,0.02,0.24,0.012,0.007,0.01,0.0002,0.0001
Pepino cru,Produtos hortícolas,19,0.6,0.2,0,0.2,0.1,0,1.7,1.6,0,0.1,0.0075,0.7,1.4,0,0,0.006,0.035,0,0.00007,0.00002,0.00001,0.0006,0.0007,0.0001,0.00005,0,0.003,0.000009,0.3,0.003,0.14,0.01,0.018,0.008,0.0005,0.0001
Pimento cru,Produtos hortícolas,27,0.6,0.1,0,0.3,0.3,0,2.7,2.5,0.1,0.1,0.01,2,1.6,0,0,0.217,1.3,0,0.0008,0.00002,0.00001,0.0006,0.0008,0.0002,0.00031,0,0.09,0.000028,0.4,0.004,0.12,0.009,0.024,0.01,0.0006,0.0002
Tomate cru,Produtos hortícolas,22,0.3,0,0.1,0.2,0.2,0,3.5,3.5,0,0,0.032,1.3,0.8,0,0,0.085,0.51,0,0.0012,0.00005,0.00003,0.0006,0.0007,0.0001,0.00014,0,0.02,0.000017,0.54,0.013,0.25,0.011,0.017,0.011,0.0007,0.0001
